operator_id,operator_type,dimension,score,timestamp
OP-001,Advanced,Data_Fabric,4.2,2024-01-01
OP-001,Advanced,Service_Graph,4.0,2024-01-01
OP-001,Advanced,AI_Analytics,4.5,2024-01-01
OP-001,Advanced,Closed_Loop_Auto,3.8,2024-01-01
OP-001,Advanced,Culture,4.1,2024-01-01
OP-001,Advanced,Org_Readiness,4.3,2024-01-01
OP-001,Advanced,Strategic_Alignment,4.4,2024-01-01
OP-002,Mid-tier,Data_Fabric,2.8,2024-01-01
OP-002,Mid-tier,Service_Graph,2.5,2024-01-01
OP-002,Mid-tier,AI_Analytics,2.3,2024-01-01
OP-002,Mid-tier,Closed_Loop_Auto,2.1,2024-01-01
OP-002,Mid-tier,Culture,2.7,2024-01-01
OP-002,Mid-tier,Org_Readiness,2.9,2024-01-01
OP-002,Mid-tier,Strategic_Alignment,3.0,2024-01-01
OP-003,Lagging,Data_Fabric,1.8,2024-01-01
OP-003,Lagging,Service_Graph,1.5,2024-01-01
OP-003,Lagging,AI_Analytics,1.2,2024-01-01
OP-003,Lagging,Closed_Loop_Auto,1.0,2024-01-01
OP-003,Lagging,Culture,1.6,2024-01-01
OP-003,Lagging,Org_Readiness,1.9,2024-01-01
OP-003,Lagging,Strategic_Alignment,2.0,2024-01-01
OP-001,Advanced,Data_Fabric,4.3,2024-02-01
OP-001,Advanced,Service_Graph,4.1,2024-02-01
OP-001,Advanced,AI_Analytics,4.5,2024-02-01
OP-001,Advanced,Closed_Loop_Auto,3.9,2024-02-01
OP-001,Advanced,Culture,4.1,2024-02-01
OP-001,Advanced,Org_Readiness,4.3,2024-02-01
OP-001,Advanced,Strategic_Alignment,4.4,2024-02-01
OP-002,Mid-tier,Data_Fabric,2.9,2024-02-01
OP-002,Mid-tier,Service_Graph,2.6,2024-02-01
OP-002,Mid-tier,AI_Analytics,2.4,2024-02-01
OP-002,Mid-tier,Closed_Loop_Auto,2.2,2024-02-01
OP-002,Mid-tier,Culture,2.7,2024-02-01
OP-002,Mid-tier,Org_Readiness,2.9,2024-02-01
OP-002,Mid-tier,Strategic_Alignment,3.0,2024-02-01
